Date,Eurekahedge CTA Index,SG CTA Index,S&P 500,US Aggregate Bond Index,risk free rate,,Returns,,,,,,,,Risk Free rate,,,,,,,Returns deviation,,,
 TEST day,100.00,1000,1469.25,833.75,6.44%,,Eurekahedge CTA Index,Best Month returns,SG CTA Index,Best Month returns,S&P 500,Best Month returns,US Aggregate Bond Index,Best Month returns,3.26%,,Eurekahedge CTA Index,SG CTA Index,S&P 500,US Aggregate Bond Index,,Eurekahedge CTA Index,SG CTA Index,S&P 500,US Aggregate Bond Index
Jan 2000,101.99,996.74,1394.46,829.39,6.67%,,1.99%,8.33%,-0.33%,9.76%,-5.09%,12.68%,-0.52%,3.75%,,mean returns,0.71%,0.36%,0.47%,0.42%,,0.0128,-0.0069,-0.0556,-0.0094
Feb 2000,102.84,1020.152551,1366.42,832.85,6.41%,,0.83%,Worst Month returns,2.35%,Worst Month returns,-2.01%,Worst Month returns,0.42%,Worst Month returns,,annualized mean returns,8.47%,4.33%,5.67%,5.02%,,0.0013,0.0199,-0.0248,0.0000
Mar 2000,101.71,1006.525376,1498.58,841.86,6.02%,,-1.09%,-4.32%,-1.34%,-8.19%,9.67%,-16.94%,1.08%,-3.34%,,Variance,0.0003,0.0007,0.0019,0.0001,,-0.0180,-0.0170,0.0920,0.0066
Apr 2000,100.84,989.513773,1452.43,853.81,6.21%,,-0.86%,,-1.69%,,-3.08%,,1.42%,,,SD,#NAME?,#NAME?,#NAME?,#NAME?,,-0.0156,-0.0205,-0.0355,0.0100
May 2000,103.13,976.685066,1420.6,849.15,6.29%,,2.27%,,-1.30%,,-2.19%,,-0.55%,,,SD(from deviation),0.0184,0.0259,0.0436,0.0099,,0.0157,-0.0166,-0.0266,-0.0096
Jun 2000,102.85,983.491499,1454.6,853.76,6.02%,,-0.27%,,0.70%,,2.39%,,0.54%,,,annualized volatility,0.0639,0.0896,0.1509,0.0344,,-0.0098,0.0034,0.0192,0.0012
Jul 2000,101.96,964.121469,1430.83,869.09,6.03%,,-0.86%,,-1.97%,,-1.63%,,1.80%,,,Sharpe ratio(annualized),0.816326939,0.119409863,0.159714619,0.511413764,,-0.0157,-0.0233,-0.0211,0.0138
Aug 2000,105.89,947.42793,1517.68,876.47,5.73%,,3.85%,,-1.73%,,6.07%,,0.85%,,,,,,,,,0.0315,-0.0209,0.0560,0.0043
Sep 2000,105.10,960.957654,1436.51,889.65,5.78%,,-0.74%,,1.43%,,-5.35%,,1.50%,,,,,,,,,-0.0145,0.0107,-0.0582,0.0109
Oct 2000,106.69,931.030768,1429.4,892.6,5.76%,,1.51%,,-3.11%,,-0.49%,,0.33%,,,,,,,,,0.0081,-0.0347,-0.0097,-0.0009
Nov 2000,111.91,937.804879,1314.95,900.59,5.44%,,4.89%,,0.73%,,-8.01%,,0.90%,,,,,,,,,0.0418,0.0037,-0.0848,0.0048
Dec 2000,121.22,998.241616,1320.28,911.58,5.11%,,8.33%,,6.44%,,0.41%,,1.22%,,,,,,,,,0.0762,0.0608,-0.0007,0.0080
Jan 2001,122.95,1095.622125,1366.01,938.84,5.18%,,1.43%,,9.76%,,3.46%,,2.99%,,,,,,,,,0.0072,0.0939,0.0299,0.0257
Feb 2001,123.61,1106.444138,1239.94,949.28,4.91%,,0.53%,,0.99%,,-9.23%,,1.11%,,,,,,,,,-0.0017,0.0063,-0.0970,0.0069
Mar 2001,129.61,1112.9906,1160.33,955.92,4.92%,,4.86%,,0.59%,,-6.42%,,0.70%,,,,,,,,,0.0415,0.0023,-0.0689,0.0028
Apr 2001,125.97,1163.16195,1249.46,958.2,5.34%,,-2.81%,,4.51%,,7.68%,,0.24%,,,,,,,,,-0.0351,0.0415,0.0721,-0.0018
May 2001,127.74,1109.307394,1255.82,957.07,5.41%,,1.41%,,-4.63%,,0.51%,,-0.12%,,,,,,,,,0.0070,-0.0499,0.0004,-0.0054
Jun 2001,127.20,1117.527519,1224.38,962.59,5.39%,,-0.42%,,0.74%,,-2.50%,,0.58%,,,,,,,,,-0.0113,0.0038,-0.0298,0.0016
Jul 2001,126.90,1111.19084,1211.23,967.5,5.04%,,-0.23%,,-0.57%,,-1.07%,,0.51%,,,,,,,,,-0.0094,-0.0093,-0.0155,0.0009
Aug 2001,129.51,1106.713985,1133.58,984.88,4.82%,,2.05%,,-0.40%,,-6.41%,,1.80%,,,,,,,,,0.0135,-0.0076,-0.0688,0.0138
Sep 2001,132.51,1126.569868,1040.94,990.53,4.58%,,2.32%,,1.79%,,-8.17%,,0.57%,,,,,,,,,0.0161,0.0143,-0.0864,0.0016
Oct 2001,137.21,1148.221703,1059.78,1010.18,4.26%,,3.54%,,1.92%,,1.81%,,1.98%,,,,,,,,,0.0284,0.0156,0.0134,0.0157
Nov 2001,131.28,1190.886498,1139.45,1030.78,4.74%,,-4.32%,,3.72%,,7.52%,,2.04%,,,,,,,,,-0.0503,0.0336,0.0705,0.0162
Dec 2001,132.98,1093.407418,1148.08,1017.05,5.03%,,1.30%,,-8.19%,,0.76%,,-1.33%,,,,,,,,,0.0059,-0.0855,0.0029,-0.0175
Jan 2002,132.09,1122.848794,1130.2,1004.79,5.03%,,-0.67%,,2.69%,,-1.56%,,-1.21%,,,,,,,,,-0.0138,0.0233,-0.0203,-0.0162
Feb 2002,130.00,1112.461314,1106.73,1019.44,4.86%,,-1.58%,,-0.93%,,-2.08%,,1.46%,,,,,,,,,-0.0229,-0.0129,-0.0255,0.0104
Mar 2002,131.40,1090.817737,1147.39,1022.98,5.41%,,1.07%,,-1.95%,,3.67%,,0.35%,,,,,,,,,0.0037,-0.0231,0.0320,-0.0007
Apr 2002,130.81,1099.658502,1076.92,1009.65,5.09%,,-0.45%,,0.81%,,-6.14%,,-1.30%,,,,,,,,,-0.0116,0.0045,-0.0661,-0.0172
May 2002,135.56,1083.064144,1067.14,1030.46,5.04%,,3.63%,,-1.51%,,-0.91%,,2.06%,,,,,,,,,0.0293,-0.0187,-0.0138,0.0164
Jun 2002,144.16,1126.954659,989.82,1039.07,4.82%,,6.35%,,4.05%,,-7.25%,,0.84%,,,,,,,,,0.0564,0.0369,-0.0772,0.0042
Jul 2002,149.76,1193.568556,911.62,1048.19,4.47%,,3.88%,,5.91%,,-7.90%,,0.88%,,,,,,,,,0.0317,0.0555,-0.0837,0.0046
Aug 2002,152.81,1238.237357,916.07,1063.27,4.14%,,2.04%,,3.74%,,0.49%,,1.44%,,,,,,,,,0.0133,0.0338,0.0002,0.0102
Sep 2002,157.30,1259.552849,815.28,1083.91,3.61%,,2.94%,,1.72%,,-11.00%,,1.94%,,,,,,,,,0.0223,0.0136,-0.1147,0.0152
Oct 2002,153.46,1281.063847,885.76,1092.59,3.91%,,-2.44%,,1.71%,,8.64%,,0.80%,,,,,,,,,-0.0315,0.0135,0.0817,0.0038
Nov 2002,152.58,1240.030833,936.31,1088.6,4.21%,,-0.57%,,-3.20%,,5.71%,,-0.37%,,,,,,,,,-0.0127,-0.0356,0.0523,-0.0078
Dec 2002,161.17,1213.346476,879.82,1090.45,3.82%,,5.63%,,-2.15%,,-6.03%,,0.17%,,,,,,,,,0.0492,-0.0251,-0.0651,-0.0025
Jan 2003,167.36,1267.563427,855.7,1104.97,3.98%,,3.84%,,4.47%,,-2.74%,,1.33%,,,,,,,,,0.0313,0.0411,-0.0321,0.0091
Feb 2003,172.51,1325.884587,841.15,1113.73,3.70%,,3.08%,,4.60%,,-1.70%,,0.79%,,,,,,,,,0.0237,0.0424,-0.0217,0.0037
Mar 2003,166.10,1396.369614,848.18,1130.16,3.82%,,-3.72%,,5.32%,,0.84%,,1.48%,,,,,,,,,-0.0442,0.0496,0.0036,0.0106
Apr 2003,168.49,1313.876743,916.92,1128.16,3.86%,,1.44%,,-5.91%,,8.10%,,-0.18%,,,,,,,,,0.0074,-0.0627,0.0763,-0.0060
May 2003,177.44,1341.458842,963.59,1137.78,3.35%,,5.31%,,2.10%,,5.09%,,0.85%,,,,,,,,,0.0461,0.0174,0.0462,0.0043
Jun 2003,174.53,1406.222081,974.5,1156.31,3.53%,,-1.64%,,4.83%,,1.13%,,1.63%,,,,,,,,,-0.0235,0.0447,0.0066,0.0121
Jul 2003,174.20,1395.367368,990.31,1155.68,4.47%,,-0.19%,,-0.77%,,1.62%,,-0.05%,,,,,,,,,-0.0089,-0.0113,0.0115,-0.0047
Aug 2003,175.81,1378.879898,1008.01,1117.04,4.45%,,0.93%,,-1.18%,,1.79%,,-3.34%,,,,,,,,,0.0022,-0.0154,0.0132,-0.0376
Sep 2003,177.51,1406.698795,995.97,1118.04,3.94%,,0.97%,,2.02%,,-1.19%,,0.09%,,,,,,,,,0.0026,0.0166,-0.0167,-0.0033
Oct 2003,182.92,1405.558101,1050.71,1154.82,4.30%,,3.04%,,-0.08%,,5.50%,,3.29%,,,,,,,,,0.0234,-0.0044,0.0502,0.0287
Nov 2003,182.80,1411.56048,1058.2,1141.26,4.32%,,-0.06%,,0.43%,,0.71%,,-1.17%,,,,,,,,,-0.0077,0.0007,0.0024,-0.0159
Dec 2003,188.66,1424.989097,1111.92,1143.85,4.26%,,3.21%,,0.95%,,5.08%,,0.23%,,,,,,,,,0.0250,0.0059,0.0460,-0.0019
Jan 2004,190.58,1466.756228,1131.13,1153.28,4.14%,,1.02%,,2.93%,,1.73%,,0.82%,,,,,,,,,0.0031,0.0257,0.0126,0.0041
Feb 2004,198.58,1482.839575,1144.94,1167.27,3.98%,,4.19%,,1.10%,,1.22%,,1.21%,,,,,,,,,0.0349,0.0074,0.0075,0.0079
Mar 2004,199.72,1548.523253,1126.21,1180.34,3.84%,,0.57%,,4.43%,,-1.64%,,1.12%,,,,,,,,,-0.0013,0.0407,-0.0211,0.0070
Apr 2004,193.43,1521.580672,1107.3,1186.68,4.50%,,-3.15%,,-1.74%,,-1.68%,,0.54%,,,,,,,,,-0.0385,-0.0210,-0.0215,0.0012
May 2004,192.00,1474.777587,1120.68,1158.24,4.66%,,-0.74%,,-3.08%,,1.21%,,-2.40%,,,,,,,,,-0.0145,-0.0344,0.0074,-0.0281
Jun 2004,188.17,1461.318308,1140.84,1151.02,4.62%,,-1.99%,,-0.91%,,1.80%,,-0.62%,,,,,,,,,-0.0270,-0.0127,0.0133,-0.0104
Jul 2004,187.70,1414.775979,1101.72,1163.29,4.48%,,-0.25%,,-3.18%,,-3.43%,,1.07%,,,,,,,,,-0.0096,-0.0355,-0.0390,0.0065
Aug 2004,187.14,1402.746888,1104.24,1172.71,4.13%,,-0.30%,,-0.85%,,0.23%,,0.81%,,,,,,,,,-0.0100,-0.0121,-0.0024,0.0039
Sep 2004,190.80,1380.064487,1114.58,1194.45,4.12%,,1.96%,,-1.62%,,0.94%,,1.85%,,,,,,,,,0.0125,-0.0198,0.0046,0.0144
Oct 2004,194.53,1387.241303,1130.2,1194.2,4.03%,,1.95%,,0.52%,,1.40%,,-0.02%,,,,,,,,,0.0125,0.0016,0.0093,-0.0044
Nov 2004,202.18,1419.368041,1173.82,1204.63,4.36%,,3.93%,,2.32%,,3.86%,,0.87%,,,,,,,,,0.0323,0.0196,0.0339,0.0046
Dec 2004,202.67,1491.232019,1211.92,1197.2,4.22%,,0.24%,,5.06%,,3.25%,,-0.62%,,,,,,,,,-0.0046,0.0470,0.0277,-0.0103
Jan 2005,198.44,1485.05666,1181.27,1208.95,4.13%,,-2.09%,,-0.41%,,-2.53%,,0.98%,,,,,,,,,-0.0279,-0.0077,-0.0300,0.0056
Feb 2005,200.12,1449.365981,1203.6,1216.12,4.36%,,0.85%,,-2.40%,,1.89%,,0.59%,,,,,,,,,0.0014,-0.0276,0.0142,0.0018
Mar 2005,199.44,1463.418295,1180.59,1208.41,4.50%,,-0.34%,,0.97%,,-1.91%,,-0.63%,,,,,,,,,-0.0104,0.0061,-0.0238,-0.0105
Apr 2005,196.09,1470.721099,1156.85,1205.44,4.20%,,-1.68%,,0.50%,,-2.01%,,-0.25%,,,,,,,,,-0.0239,0.0014,-0.0248,-0.0066
May 2005,200.87,1438.31854,1191.5,1219.84,4.01%,,2.44%,,-2.20%,,3.00%,,1.19%,,,,,,,,,0.0173,-0.0256,0.0252,0.0078
Jun 2005,205.44,1473.496096,1191.33,1237.57,3.95%,,2.27%,,2.45%,,-0.01%,,1.45%,,,,,,,,,0.0157,0.0209,-0.0049,0.0104
Jul 2005,206.42,1502.036114,1234.18,1234.47,4.29%,,0.48%,,1.94%,,3.60%,,-0.25%,,,,,,,,,-0.0023,0.0158,0.0312,-0.0067
Aug 2005,208.72,1483.994725,1220.33,1226.13,4.02%,,1.11%,,-1.20%,,-1.12%,,-0.68%,,,,,,,,,0.0041,-0.0156,-0.0159,-0.0109
Sep 2005,211.79,1493.584292,1228.81,1244.81,4.33%,,1.47%,,0.65%,,0.69%,,1.52%,,,,,,,,,0.0077,0.0029,0.0022,0.0111
Oct 2005,211.36,1520.103374,1207.01,1228.05,4.56%,,-0.20%,,1.78%,,-1.77%,,-1.35%,,,,,,,,,-0.0091,0.0142,-0.0225,-0.0176
Nov 2005,218.73,1515.261872,1249.48,1219.98,4.50%,,3.49%,,-0.32%,,3.52%,,-0.66%,,,,,,,,,0.0278,-0.0068,0.0305,-0.0108
Dec 2005,220.22,1570.694311,1248.29,1224.9,4.40%,,0.68%,,3.66%,,-0.10%,,0.40%,,,,,,,,,-0.0003,0.0330,-0.0057,-0.0001
Jan 2006,225.18,1537.773897,1280.08,1240.17,4.53%,,2.25%,,-2.10%,,2.55%,,1.25%,,,,,,,,,0.0155,-0.0246,0.0207,0.0083
Feb 2006,223.68,1555.359644,1280.66,1235.92,4.55%,,-0.67%,,1.14%,,0.05%,,-0.34%,,,,,,,,,-0.0137,0.0078,-0.0043,-0.0076
Mar 2006,228.72,1547.400286,1294.87,1239.76,4.85%,,2.25%,,-0.51%,,1.11%,,0.31%,,,,,,,,,0.0155,-0.0087,0.0064,-0.0011
Apr 2006,237.57,1590.012164,1310.61,1229.27,5.07%,,3.87%,,2.75%,,1.22%,,-0.85%,,,,,,,,,0.0316,0.0239,0.0074,-0.0126
May 2006,236.98,1618.602448,1270.09,1224.37,5.11%,,-0.25%,,1.80%,,-3.09%,,-0.40%,,,,,,,,,-0.0095,0.0144,-0.0356,-0.0082
Jun 2006,235.40,1584.569846,1270.2,1227.28,5.14%,,-0.67%,,-2.10%,,0.01%,,0.24%,,,,,,,,,-0.0137,-0.0246,-0.0046,-0.0018
Jul 2006,232.08,1568.178008,1276.66,1228.93,4.99%,,-1.41%,,-1.03%,,0.51%,,0.13%,,,,,,,,,-0.0212,-0.0139,0.0004,-0.0028
Aug 2006,234.01,1539.22448,1303.82,1246.41,4.73%,,0.83%,,-1.85%,,2.13%,,1.42%,,,,,,,,,0.0012,-0.0221,0.0166,0.0100
Sep 2006,232.69,1535.752826,1335.85,1265.66,4.63%,,-0.57%,,-0.23%,,2.46%,,1.54%,,,,,,,,,-0.0127,-0.0059,0.0198,0.0113
Oct 2006,236.04,1527.420758,1377.94,1277.13,4.61%,,1.44%,,-0.54%,,3.15%,,0.91%,,,,,,,,,0.0074,-0.0090,0.0268,0.0049
Nov 2006,242.58,1548.895284,1400.63,1287.19,4.46%,,2.77%,,1.41%,,1.65%,,0.79%,,,,,,,,,0.0206,0.0105,0.0117,0.0037
Dec 2006,243.52,1589.525649,1418.3,1301.88,4.71%,,0.39%,,2.62%,,1.26%,,1.14%,,,,,,,,,-0.0032,0.0226,0.0079,0.0072
Jan 2007,246.41,1625.021045,1438.24,1293.39,4.83%,,1.19%,,2.23%,,1.41%,,-0.65%,,,,,,,,,0.0048,0.0187,0.0093,-0.0107
Feb 2007,244.91,1648.819887,1406.82,1290.85,4.55%,,-0.61%,,1.46%,,-2.18%,,-0.20%,,,,,,,,,-0.0132,0.0110,-0.0266,-0.0061
Mar 2007,241.88,1595.017401,1420.86,1311.06,4.65%,,-1.24%,,-3.26%,,1.00%,,1.57%,,,,,,,,,-0.0194,-0.0362,0.0053,0.0115
Apr 2007,246.63,1600.91097,1482.37,1311.69,4.63%,,1.97%,,0.37%,,4.33%,,0.05%,,,,,,,,,0.0126,0.0001,0.0386,-0.0037
May 2007,251.23,1647.765446,1530.62,1317.56,4.89%,,1.86%,,2.93%,,3.25%,,0.45%,,,,,,,,,0.0116,0.0257,0.0278,0.0003
Jun 2007,255.90,1718.762581,1503.35,1304.59,5.03%,,1.86%,,4.31%,,-1.78%,,-0.98%,,,,,,,,,0.0116,0.0395,-0.0225,-0.0140
Jul 2007,254.05,1743.559109,1455.27,1306.57,4.77%,,-0.72%,,1.44%,,-3.20%,,0.15%,,,,,,,,,-0.0143,0.0108,-0.0367,-0.0027
Aug 2007,250.38,1680.765053,1473.99,1315.84,4.54%,,-1.44%,,-3.60%,,1.29%,,0.71%,,,,,,,,,-0.0215,-0.0396,0.0081,0.0029
Sep 2007,263.86,1626.814585,1526.75,1331.27,4.58%,,5.38%,,-3.21%,,3.58%,,1.17%,,,,,,,,,0.0468,-0.0357,0.0311,0.0075
Oct 2007,270.70,1695.689071,1549.38,1342.84,4.48%,,2.59%,,4.23%,,1.48%,,0.87%,,,,,,,,,0.0189,0.0387,0.0101,0.0045
Nov 2007,273.69,1743.835333,1481.14,1359.49,3.97%,,1.10%,,2.84%,,-4.40%,,1.24%,,,,,,,,,0.0040,0.0248,-0.0488,0.0082
Dec 2007,280.37,1748.421099,1468.36,1382.09,4.04%,,2.44%,,0.26%,,-0.86%,,1.66%,,,,,,,,,0.0173,-0.0010,-0.0134,0.0124
Jan 2008,286.16,1755.732653,1378.55,1390.65,3.64%,,2.07%,,0.42%,,-6.12%,,0.62%,,,,,,,,,0.0136,0.0006,-0.0659,0.0020
Feb 2008,305.02,1784.22295,1330.63,1407.79,3.53%,,6.59%,,1.62%,,-3.48%,,1.23%,,,,,,,,,0.0588,0.0126,-0.0395,0.0081
Mar 2008,303.75,1882.141671,1322.7,1405.26,3.43%,,-0.41%,,5.49%,,-0.60%,,-0.18%,,,,,,,,,-0.0112,0.0513,-0.0107,-0.0060
Apr 2008,304.83,1836.618087,1385.59,1405.18,3.76%,,0.35%,,-2.42%,,4.75%,,-0.01%,,,,,,,,,-0.0035,-0.0278,0.0428,-0.0042
May 2008,310.99,1815.467655,1400.38,1410.54,4.05%,,2.02%,,-1.15%,,1.07%,,0.38%,,,,,,,,,0.0132,-0.0151,0.0060,-0.0004
Jun 2008,320.39,1857.086516,1280,1402.98,3.98%,,3.02%,,2.29%,,-8.60%,,-0.54%,,,,,,,,,0.0232,0.0193,-0.0907,-0.0095
Jul 2008,312.26,1907.749089,1267.38,1395.48,3.98%,,-2.54%,,2.73%,,-0.99%,,-0.53%,,,,,,,,,-0.0324,0.0237,-0.0146,-0.0095
Aug 2008,313.04,1851.661036,1282.83,1397.31,3.81%,,0.25%,,-2.94%,,1.22%,,0.13%,,,,,,,,,-0.0046,-0.0330,0.0075,-0.0029
Sep 2008,312.33,1816.887323,1166.36,1413.59,3.83%,,-0.23%,,-1.88%,,-9.08%,,1.17%,,,,,,,,,-0.0093,-0.0224,-0.0955,0.0075
Oct 2008,323.56,1824.963904,968.75,1393.52,3.97%,,3.60%,,0.44%,,-16.94%,,-1.42%,,,,,,,,,0.0289,0.0008,-0.1741,-0.0184
Nov 2008,328.69,1914.750595,896.24,1362.97,2.96%,,1.59%,,4.92%,,-7.48%,,-2.19%,,,,,,,,,0.0088,0.0456,-0.0796,-0.0261
Dec 2008,334.77,1970.142016,903.25,1408.88,2.24%,,1.85%,,2.89%,,0.78%,,3.37%,,,,,,,,,0.0114,0.0253,0.0031,0.0295
Jan 2009,336.80,1985.143907,825.88,1446.47,2.84%,,0.61%,,0.76%,,-8.57%,,2.67%,,,,,,,,,-0.0010,0.0040,-0.0904,0.0225
Feb 2009,336.95,1993.321609,735.09,1447.27,3.04%,,0.04%,,0.41%,,-10.99%,,0.06%,,,,,,,,,-0.0066,0.0005,-0.1147,-0.0036
Mar 2009,333.32,2014.114837,797.87,1440.85,2.69%,,-1.08%,,1.04%,,8.54%,,-0.44%,,,,,,,,,-0.0178,0.0068,0.0807,-0.0086
Apr 2009,333.79,1942.901245,872.81,1457.52,3.12%,,0.14%,,-3.54%,,9.39%,,1.16%,,,,,,,,,-0.0057,-0.0390,0.0892,0.0074
May 2009,347.87,1899.42379,919.14,1460.9,3.47%,,4.22%,,-2.24%,,5.31%,,0.23%,,,,,,,,,0.0351,-0.0260,0.0484,-0.0019
Jun 2009,344.73,1936.728475,919.32,1463.14,3.52%,,-0.90%,,1.96%,,0.02%,,0.15%,,,,,,,,,-0.0161,0.0160,-0.0045,-0.0026
Jul 2009,344.35,1894.70461,987.48,1482.3,3.50%,,-0.11%,,-2.17%,,7.41%,,1.31%,,,,,,,,,-0.0082,-0.0253,0.0694,0.0089
Aug 2009,347.77,1890.977052,1020.62,1499.96,3.40%,,0.99%,,-0.20%,,3.36%,,1.19%,,,,,,,,,0.0029,-0.0056,0.0288,0.0077
Sep 2009,351.63,1891.839886,1057.08,1522.71,3.31%,,1.11%,,0.05%,,3.57%,,1.52%,,,,,,,,,0.0040,-0.0031,0.0310,0.0110
Oct 2009,349.16,1937.585965,1036.19,1542.95,3.39%,,-0.70%,,2.42%,,-1.98%,,1.33%,,,,,,,,,-0.0141,0.0206,-0.0245,0.0091
Nov 2009,360.00,1914.794417,1095.63,1543.4,3.20%,,3.11%,,-1.18%,,5.74%,,0.03%,,,,,,,,,0.0240,-0.0154,0.0526,-0.0039
Dec 2009,356.04,1980.430431,1115.1,1561.29,3.84%,,-1.10%,,3.43%,,1.78%,,1.16%,,,,,,,,,-0.0181,0.0307,0.0130,0.0074
Jan 2010,350.38,1901.596537,1073.87,1542.4,3.61%,,-1.59%,,-3.98%,,-3.70%,,-1.21%,,,,,,,,,-0.0230,-0.0434,-0.0417,-0.0163
Feb 2010,352.73,1863.005684,1104.49,1561.4,3.60%,,0.67%,,-2.03%,,2.85%,,1.23%,,,,,,,,,-0.0003,-0.0239,0.0238,0.0081
Mar 2010,357.74,1896.821061,1169.43,1569.45,3.83%,,1.42%,,1.82%,,5.88%,,0.52%,,,,,,,,,0.0072,0.0145,0.0541,0.0010
Apr 2010,361.71,1947.552237,1186.69,1565.63,3.66%,,1.11%,,2.67%,,1.48%,,-0.24%,,,,,,,,,0.0040,0.0231,0.0100,-0.0066
May 2010,358.56,1967.141123,1089.41,1581.13,3.30%,,-0.87%,,1.01%,,-8.20%,,0.99%,,,,,,,,,-0.0158,0.0065,-0.0867,0.0057
Jun 2010,360.39,1935.07833,1030.71,1598.1,2.95%,,0.51%,,-1.63%,,-5.39%,,1.07%,,,,,,,,,-0.0020,-0.0199,-0.0586,0.0066
Jul 2010,361.69,1921.436314,1101.6,1623.39,2.91%,,0.36%,,-0.70%,,6.88%,,1.58%,,,,,,,,,-0.0034,-0.0107,0.0641,0.0116
Aug 2010,370.12,1928.315963,1049.33,1636.7,2.48%,,2.33%,,0.36%,,-4.74%,,0.82%,,,,,,,,,0.0162,0.0000,-0.0522,0.0040
Sep 2010,381.10,1977.902233,1141.2,1655.49,2.52%,,2.97%,,2.57%,,8.76%,,1.15%,,,,,,,,,0.0226,0.0221,0.0828,0.0073
Oct 2010,392.00,2010.976453,1183.26,1662.76,2.61%,,2.86%,,1.67%,,3.69%,,0.44%,,,,,,,,,0.0215,0.0131,0.0321,0.0002
Nov 2010,388.56,2071.174825,1180.55,1668.62,2.80%,,-0.88%,,2.99%,,-0.23%,,0.35%,,,,,,,,,-0.0158,0.0263,-0.0070,-0.0007
Dec 2010,404.02,2023.983914,1257.64,1648.25,3.31%,,3.98%,,-2.28%,,6.53%,,-1.22%,,,,,,,,,0.0327,-0.0264,0.0606,-0.0164
Jan 2011,403.12,2079.502148,1286.12,1639.71,3.38%,,-0.22%,,2.74%,,2.26%,,-0.52%,,,,,,,,,-0.0093,0.0238,0.0179,-0.0094
Feb 2011,409.46,2073.871681,1327.22,1639.29,3.41%,,1.57%,,-0.27%,,3.20%,,-0.03%,,,,,,,,,0.0087,-0.0063,0.0272,-0.0044
Mar 2011,407.60,2071.511781,1325.83,1647.89,3.45%,,-0.45%,,-0.11%,,-0.10%,,0.52%,,,,,,,,,-0.0116,-0.0047,-0.0058,0.0011
Apr 2011,418.74,2055.479294,1363.61,1647.88,3.30%,,2.73%,,-0.77%,,2.85%,,0.00%,,,,,,,,,0.0203,-0.0113,0.0238,-0.0042
May 2011,411.51,2122.136042,1345.2,1669.72,3.05%,,-1.73%,,3.24%,,-1.35%,,1.33%,,,,,,,,,-0.0243,0.0288,-0.0182,0.0091
Jun 2011,403.89,2030.288911,1320.64,1696.51,3.16%,,-1.85%,,-4.33%,,-1.83%,,1.60%,,,,,,,,,-0.0256,-0.0469,-0.0230,0.0119
Jul 2011,412.32,1991.322937,1292.28,1683.7,2.81%,,2.09%,,-1.92%,,-2.15%,,-0.76%,,,,,,,,,0.0138,-0.0228,-0.0262,-0.0117
Aug 2011,413.72,2058.675462,1218.89,1717.03,2.22%,,0.34%,,3.38%,,-5.68%,,1.98%,,,,,,,,,-0.0037,0.0302,-0.0615,0.0156
Sep 2011,414.00,2028.449075,1131.42,1743.2,1.92%,,0.07%,,-1.47%,,-7.18%,,1.52%,,,,,,,,,-0.0064,-0.0183,-0.0765,0.0111
Oct 2011,408.07,2062.10561,1253.3,1758.32,2.18%,,-1.43%,,1.66%,,10.77%,,0.87%,,,,,,,,,-0.0214,0.0130,0.1030,0.0045
Nov 2011,410.02,1984.665109,1246.96,1761.14,2.07%,,0.48%,,-3.76%,,-0.51%,,0.16%,,,,,,,,,-0.0023,-0.0412,-0.0098,-0.0026
Dec 2011,412.97,1961.212768,1257.6,1747.64,1.87%,,0.72%,,-1.18%,,0.85%,,-0.77%,,,,,,,,,0.0001,-0.0154,0.0038,-0.0118
Jan 2012,415.84,1982.362694,1312.41,1765.75,1.80%,,0.70%,,1.08%,,4.36%,,1.04%,,,,,,,,,-0.0001,0.0072,0.0389,0.0062
Feb 2012,420.11,2003.702405,1365.68,1782.8,1.98%,,1.03%,,1.08%,,4.06%,,0.97%,,,,,,,,,0.0032,0.0072,0.0359,0.0055
Mar 2012,416.89,2022.921221,1408.47,1781.82,2.22%,,-0.76%,,0.96%,,3.13%,,-0.05%,,,,,,,,,-0.0147,0.0060,0.0266,-0.0047
Apr 2012,416.90,1984.13252,1397.91,1776.71,1.92%,,0.00%,,-1.92%,,-0.75%,,-0.29%,,,,,,,,,-0.0070,-0.0228,-0.0122,-0.0070
May 2012,422.80,1977.846569,1310.33,1792.43,1.58%,,1.42%,,-0.32%,,-6.27%,,0.88%,,,,,,,,,0.0071,-0.0068,-0.0674,0.0047
Jun 2012,419.23,2048.3099,1362.16,1816.25,1.66%,,-0.85%,,3.56%,,3.96%,,1.33%,,,,,,,,,-0.0155,0.0320,0.0348,0.0091
Jul 2012,431.40,1982.245169,1379.32,1817.9,1.49%,,2.90%,,-3.23%,,1.26%,,0.09%,,,,,,,,,0.0220,-0.0359,0.0079,-0.0033
Aug 2012,432.02,2022.280778,1406.58,1833.8,1.56%,,0.14%,,2.02%,,1.98%,,0.87%,,,,,,,,,-0.0056,0.0166,0.0150,0.0046
Sep 2012,430.06,2003.799667,1440.67,1837.51,1.64%,,-0.45%,,-0.91%,,2.42%,,0.20%,,,,,,,,,-0.0116,-0.0127,0.0195,-0.0022
Oct 2012,422.67,1988.266409,1412.16,1841.77,1.69%,,-1.72%,,-0.78%,,-1.98%,,0.23%,,,,,,,,,-0.0242,-0.0114,-0.0245,-0.0019
Nov 2012,423.27,1934.725082,1416.18,1841.71,1.61%,,0.14%,,-2.69%,,0.28%,,0.00%,,,,,,,,,-0.0056,-0.0305,-0.0019,-0.0042
